idema,lon,fint,prec,alt,vmax,vv,dv,lat,dmax,ubi,hr,tamin,ta,tamax,pres,stdvv,ts,pres_nmar,tpr,vis,stddv,inso,rviento,tss5cm,vmaxu,dvu,pacutp,vvu,stdvvu,stddvu,dmaxu,tss20cm,geo850,geo925,nieve,psoltp,pliqt,geo700,indicativo,provincia
6293X,-2.701667,2024-01-07T19:00:00,0.0,3.0,5.1,3.6,279.0,36.68694,280.0,ROQUETAS DE MAR-FARO SABINAR,79.0,10.3,10.8,11.8,1019.5,,15.0,1019.9,7.3,20.0,,0.0,,14.9,,,,,,,,,,,,0.0,0.0,,6293X,ALMERIA
6302A,-2.780005,2024-01-07T19:00:00,0.0,869.0,5.0,1.3,340.0,37.141388,333.0,ABLA,42.0,5.7,5.7,7.2,919.7,,,,-6.4,,,,60.0,,,,,,,,,,,822.0,,,,,6302A,ALMERIA
6325O,-2.356931,2024-01-07T19:00:00,0.0,21.0,5.1,1.6,260.0,36.846344,250.0,ALMERÍA/AEROPUERTO,70.0,12.5,12.6,13.0,1017.1,1.0,11.0,1019.6,7.3,,107.0,,,,,,,,,,,,,,,,,,6325O,ALMERIA
6367B,-1.943609,2024-01-07T19:00:00,0.0,300.0,,,25.0,37.390556,66.0,HUERCAL OVERA,56.0,8.9,8.9,9.9,984.2,,,1020.4,0.6,,,,40.0,,,,,,,,,,,,,,,,6367B,ALMERIA
7002Y,-1.586878,2024-01-07T19:00:00,0.0,32.0,4.2,2.0,45.0,37.41724,45.0,ÁGUILAS,61.0,11.3,11.3,12.0,1016.6,,10.3,1020.5,4.1,20.0,,0.0,,15.0,,,,,,,,,,,,0.0,0.0,,7002Y,MURCIA
7012C,-0.987775,2024-01-07T19:00:00,0.0,17.0,2.6,1.2,318.0,37.601116,317.0,CARTAGENA,43.0,12.6,12.6,13.2,,,,,,,,,46.0,,,,,,,,,,,,,,,,7012C,MURCIA
7031X,-0.805916,2024-01-07T19:00:00,0.0,4.0,7.7,5.2,350.0,37.77833,340.0,MURCIA/SAN JAVIER,37.0,11.4,11.6,12.6,1019.8,0.7,10.0,1020.3,-2.7,,3.0,0.0,,,,,,,,,,,,,,,,,7031X,MURCIA
7096B,-1.70294,2024-01-07T19:00:00,0.0,604.57,5.4,2.4,186.0,38.541992,181.0,HELLÍN,49.0,6.2,6.2,7.2,950.1,,,1022.3,-3.9,,,,95.0,,,,,,,,,,,,,,,,7096B,ALBACETE
7119B,-1.877167,2024-01-07T19:00:00,0.0,643.0,4.8,1.1,315.0,38.10313,354.0,CARAVACA FUENTES DEL MARQUÉS,53.0,5.5,5.5,6.7,945.5,,6.2,1022.3,-3.3,20.0,,0.0,,9.1,,,,,,,,,,,,0.0,0.0,,7119B,MURCIA
7145D,-1.380598,2024-01-07T19:00:00,0.0,265.0,7.5,2.1,310.0,38.23279,287.0,CIEZA  PARQUE DE BOMBEROS,41.0,10.0,10.1,11.0,,,,,-2.5,,,,99.0,,,,,,,,,,,,,,,,7145D,MURCIA
7178I,-1.170836,2024-01-07T19:00:00,0.0,61.84,7.6,3.9,308.0,38.002003,320.0,MURCIA,38.0,12.1,12.1,12.4,1013.3,0.8,11.4,1020.9,-1.7,20.0,10.0,0.0,,13.0,,,0.0,,,,,12.8,,,,,,,7178I,MURCIA
7209,-1.687314,2024-01-07T19:00:00,0.0,312.0,1.7,0.1,328.0,37.65484,318.0,LORCA,67.0,7.7,7.8,10.0,,,,,2.1,,,,7.0,,,,,,,,,,,,,,,,7209,MURCIA
7247X,-1.037968,2024-01-07T19:00:00,0.0,575.0,4.5,1.3,296.0,38.399586,307.0,PINOSO,54.0,7.1,7.2,7.8,,,,,-1.4,,,,48.0,,,,,,,,,,,,,,,,7247X,ALICANTE
7275C,-1.159669,2024-01-07T19:00:00,0.0,640.0,13.9,7.0,266.0,38.601795,274.0,YECLA,51.0,7.0,7.2,7.4,945.0,,5.8,1020.9,-2.2,20.0,,0.0,,8.3,,,,,,,,,,,,0.0,0.0,,7275C,MURCIA
8019,-0.57083,2024-01-07T19:00:00,0.0,43.0,6.7,4.5,260.0,38.28278,260.0,ALICANTE-ELCHE/AEROPUERTO,42.0,10.5,10.7,11.5,1015.8,0.5,10.1,1019.6,-1.7,,3.0,0.0,,,,,,,,,,,,,,,,,8019,ALICANTE
8025,-0.494167,2024-01-07T19:00:00,0.0,80.66,6.5,2.8,295.0,38.3725,285.0,ALICANTE,35.0,11.9,11.9,12.3,1009.2,1.1,10.6,1019.1,-3.0,20.0,27.0,0.0,,11.2,,,0.0,,,,,11.5,,,,,,,8025,ALICANTE
8050X,0.166667,2024-01-07T19:00:00,0.0,15.0,8.9,4.0,278.0,38.78417,260.0,JÁVEA  AYUNTAMIENTO,34.0,12.2,12.8,13.0,1016.4,,12.0,1018.2,-2.7,20.0,,0.0,,12.9,,,,,,,,,,,,0.0,0.0,,8050X,ALICANTE
8096,-2.131944,2024-01-07T19:00:00,0.0,948.52,8.3,2.0,331.0,40.067223,333.0,CUENCA,71.0,2.8,2.9,3.1,909.9,1.3,1.7,,-2.0,20.0,59.0,0.0,,6.6,,,0.0,,,,,7.0,,818.8,,,,,8096,CUENCA
8175,-1.856389,2024-01-07T19:00:00,0.0,702.0,,,,38.954166,,ALBACETE/LOS LLANOS,66.0,4.5,4.5,5.5,938.4,,,,,,,0.0,,5.4,,,0.0,,,,,6.7,,,,,,,8175,ALBACETE
8178D,-1.862335,2024-01-07T19:00:00,0.0,674.11,5.0,2.1,280.0,39.005577,271.0,ALBACETE OBS.,63.0,4.1,4.1,5.5,941.8,,,1022.7,-2.2,,,,66.0,,,,,,,,,,,,,,,,8178D,ALBACETE
8293X,-0.523056,2024-01-07T19:00:00,0.0,88.0,5.1,2.6,258.0,39.001667,259.0,XÁTIVA,42.0,9.1,9.9,9.9,1008.3,,7.5,1019.0,-2.5,20.0,,0.0,,11.7,,,,,,,,,,,,0.0,0.0,,8293X,VALENCIA
8309X,-1.244795,2024-01-07T19:00:00,0.0,758.0,9.7,6.9,290.0,39.575455,280.0,UTIEL  LA CUBERA,54.0,4.5,4.6,5.7,930.6,,4.0,,-3.9,20.0,,0.0,,6.2,,,,,,,,,,807.5,,0.0,0.0,,8309X,VALENCIA
8325X,-0.371947,2024-01-07T19:00:00,0.0,12.0,3.6,1.3,234.0,39.184723,208.0,POLINYA,43.0,8.7,9.8,9.9,,,,,-2.2,,,,31.0,,,,,,,,,,,,,,,,8325X,VALENCIA
8368U,-1.124132,2024-01-07T19:00:00,0.0,901.67,8.4,3.6,323.0,40.350716,305.0,TERUEL,68.0,2.9,3.0,3.3,914.4,1.2,2.3,,-2.2,20.0,25.0,0.0,,3.7,,,0.0,,,,,4.8,,810.3,,,,,8368U,TERUEL
8414A,-0.474677,2024-01-07T19:00:00,0.0,55.9,6.7,4.3,260.0,39.485016,260.0,VALENCIA/AEROPUERTO,38.0,9.8,9.9,10.8,1010.8,0.4,8.3,1017.6,-3.9,,7.0,0.0,,,,,,,,,,,,,,,,,8414A,VALENCIA
8416Y,-0.366387,2024-01-07T19:00:00,0.0,11.0,6.2,1.9,310.0,39.480556,314.0,VALENCIA DT,33.0,11.2,11.5,11.9,,,,,-4.2,,,,55.0,,,,,,,,,,,,,,,,8416Y,VALENCIA
8489X,-0.255675,2024-01-07T19:00:00,0.0,1130.0,20.3,12.0,311.0,40.433216,312.0,VILLAFRANCA,,0.7,0.9,1.4,886.6,,0.4,,,20.0,,0.0,,6.0,,,,,,,,,,,,0.0,0.0,,8489X,CASTELLON
8500A,-0.071967,2024-01-07T19:00:00,0.0,43.39,8.1,3.8,305.0,39.95728,278.0,CASTELLÓN-ALMASSORA,36.0,10.7,11.1,11.1,1010.8,1.5,9.9,1016.7,-3.6,20.0,36.0,0.0,,9.1,,,0.0,,,,,10.1,,,,,,,8500A,CASTELLON
9001D,-4.160594,2024-01-07T19:00:00,0.0,870.0,4.8,2.3,314.0,42.991882,335.0,NESTARES,88.0,1.0,2.4,2.4,922.3,,,,0.6,,,,54.0,,,,,,,,,,,848.1,,,,,9001D,CANTABRIA
9019B,-3.933916,2024-01-07T19:00:00,0.2,720.0,1.2,0.0,187.0,42.806248,33.0,POLIENTES-CASYC,99.0,2.1,2.2,2.2,,,,,2.1,,,,9.0,,,,,,,,,,,,,,,,9019B,CANTABRIA
9051,-3.482685,2024-01-07T19:00:00,0.0,580.0,1.9,0.8,320.0,42.919903,254.0,MEDINA DE POMAR,87.0,2.6,2.6,3.5,955.6,,4.9,1026.1,0.6,20.0,,0.0,,6.9,,,,,,,,,,,,0.0,0.0,,9051,BURGOS
9091R,-2.732913,2024-01-07T19:00:00,0.0,513.0,5.1,1.8,210.0,42.871933,310.0,VITORIA-GASTEIZ AEROPUERTO,93.0,2.4,2.8,3.2,962.9,0.7,2.6,1025.1,1.7,,22.0,0.0,,,,,,,,,,,,,,,,,9091R,ARABA/ALAVA
9111,-3.170282,2024-01-07T19:00:00,0.0,820.0,4.4,2.4,297.0,42.421116,273.0,BELORADO,91.0,2.3,2.4,2.6,,,,,1.1,,,,83.0,,,,,,,,,,,,,,,,9111,BURGOS
9170,-2.331024,2024-01-07T19:00:00,0.0,353.0,6.2,3.9,260.0,42.452343,250.0,LOGROÑO  AEROPUERTO,86.0,2.6,2.7,3.3,979.6,0.4,3.6,1024.3,0.6,,6.0,0.0,,,,,,,,,,,,,,,,,9170,LA RIOJA
9208E,-0.672778,2024-01-07T19:00:00,0.0,1025.0,14.1,2.8,306.0,42.70861,11.0,ARAGÜÉS DEL PUERTO  DEPÓSITO,53.0,0.9,0.9,1.2,899.0,,0.3,,-7.5,20.0,,0.0,,4.3,,,,,,,,,"{'value': 1472.8, 'present': True}",,,0.0,0.0,,9208E,HUESCA
9244X,-1.213333,2024-01-07T19:00:00,0.0,626.0,8.3,3.9,318.0,42.490833,318.0,SOS DEL REY CATÓLICO,74.0,2.6,2.7,2.8,,1.0,,,-1.4,,16.0,,,,,,,,,,,,,,,,,,9244X,ZARAGOZA
